"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"449","42049","mainRoad",7,86.4180363834701,270254.391298364,0.0810016090731142,0.113852012436388,0.061839773867957,0.183284824539425
"475","42101","nextAirport",865,474.358611404901,1483457.65707412,1.82351490876943,1.81845888417722,1.69918801082908,1.94141726295417
"492","47025","lowRisk",2,10.7717880308032,33686.5212320023,0.185670196468847,0.296967979135783,0.112536770250706,0.596165793492978
"495","51005","mainRoad",1,4.75641120912775,14874.684381667,0.21024254548912,0.26659262172016,0.0875415583407915,0.597862864246783
"523","54025","mainRoad",2,11.2890181866316,35304.0507058763,0.177163325183441,0.235009147919651,0.0987392657331504,0.453461257938038
"106","18179","nextAirport",1,8.49284872613611,26559.6136978418,0.117746121736818,0.229453816230788,0.091554799062772,0.459638505335126
"122","21027","lowRisk",3,6.65032767670648,20797.5132671118,0.451105591459476,0.48543511546362,0.208665485812138,0.918900943979498
"182","21147","lowRisk",3,6.09412076951041,19058.0921296863,0.492277740048958,0.435477258894696,0.169253959497455,0.872586053976894
"196","21175","lowRisk",0,4.32584518173346,13528.1789006717,0,0.488076365860205,0.162911603198476,1.19901674446623
"261","26055","airport",6,29.9799747952002,93756.1205795565,0.200133590537928,0.288609074687445,0.153832364490091,0.471385232472792
"446","42043","airport",35,89.9084750149825,281170.010389011,0.389284769808047,0.40595924881691,0.291383286230415,0.538979200094641
"473","42097","nextAirport",1,29.5992038328883,92565.3387827211,0.0337846925088194,0.15816079741662,0.0767338463828758,0.277290232770866
"420","39167","mainRoad",3,18.5228155376487,57926.2437304887,0.161962418397048,0.218009740650009,0.0995120889670594,0.396709918635097
"20","18007","lowRisk",0,2.67792790523671,8374.66119641066,0,0.45202229695126,0.159077562073162,1.04103370363054
"42","18051","nextAirport",4,10.7053152104548,33478.6413454308,0.373646167475161,0.36320155787142,0.163820652038772,0.666179988005219
"78","18123","mainRoad",0,6.06559144647116,18968.8726200238,0,0.345648940849202,0.112753165387105,0.862999008159663
"148","21079","lowRisk",0,5.99365785085433,18743.9152973294,0,0.391069973405514,0.127824935443495,0.973557702155747
"170","21123","mainRoad",3,4.60825831496099,14411.3670938909,0.651005172661505,0.407320708088403,0.159865613064421,0.824273079850997
"213","21209","nextAirport",3,20.7802398919862,64985.8677431941,0.144367919503996,0.256601374180913,0.125491413350694,0.446000636922855
"237","26007","lowRisk",0,8.60287375884882,26903.694048284,0,0.533297246629201,0.125628242362302,1.44042114685447
"552","54083","lowRisk",0,9.4513282542843,29557.0585865708,0,0.418073247811186,0.129081081234607,1.00783707640366
"540","54059","nextAirport",0,7.84325406414759,24528.141827926,0,0.261189448702618,0.0900813424847957,0.626165981418565
"329","36009","mainRoad",4,23.783641344057,74378.3795986157,0.168182825419183,0.199074128375506,0.0899548512742388,0.361477557478289
"333","36071","airport",1247,126.159131548838,394536.380717659,9.88434197898131,9.85313969713772,9.31256064427977,10.4075066830315
"505","51105","lowRisk",2,8.62733891860104,26980.2037346128,0.231821192939098,0.3311164681825,0.126184299421277,0.667222051704643
"510","51195","lowRisk",0,12.6122343338633,39442.1333260302,0,0.4206752549392,0.109487683969941,1.07034763680842
"514","54007","mainRoad",0,4.49161097351063,14046.5768535717,0,0.265897385314241,0.0886016039193153,0.634527954318132
"560","54099","airport",0,13.5979398393536,42524.7217824915,0,0.496739564168766,0.160027296662863,1.15149887161373
"440","42031","mainRoad",1,11.9953396202574,37512.9237269954,0.0833657096553751,0.202987285504555,0.0814585766798208,0.40186972746072
"27","18021","mainRoad",1,8.40345332578842,26280.0482215026,0.118998697467767,0.292058243026834,0.12092911396186,0.569297842782944
"79","18125","mainRoad",0,3.95649754682385,12373.1211786117,0,0.3109208226358,0.102666313344114,0.747789940453064
"235","26003","lowRisk",0,2.83385487701387,8862.29029107835,0,0.451766006419512,0.133173191990539,1.17067724446987
"226","21235","mainRoad",0,11.1510811769537,34872.6814669063,0,0.275929960035679,0.0761768867724019,0.747938947575334
"231","24023","mainRoad",3,9.386867607314,29355.4713527166,0.319595431138549,0.298337975919593,0.125730319471384,0.573236117234409
"240","26013","lowRisk",0,2.69280700049787,8421.19246466384,0,0.428563584761116,0.122415054040475,1.12210988354527
"269","26071","lowRisk",0,3.33093307577833,10416.7987207616,0,0.41461031699776,0.153270164564231,0.931317012051351
"490","42131","nextAirport",0,8.68948267272561,27174.5453691463,0,0.525709727210068,0.153666673213647,1.27731462352815
"526","54031","lowRisk",0,4.81617098337509,15061.5706161757,0,0.335148872477894,0.11449443873807,0.801215786579582
"539","54057","lowRisk",0,9.03734513839239,28262.4127038906,0,0.371484177021537,0.106060412570687,0.96794446030054
"553","54085","lowRisk",0,3.24154232871281,10137.2477965922,0,0.37073173248483,0.129138890888882,0.859075080936996
"436","42023","lowRisk",1,1.34709505435405,4212.75892361201,0.742338112494601,0.404858392518064,0.136856585166195,0.919194688506862
"452","42055","mainRoad",11,53.5300401169804,167404.039867292,0.205492093336031,0.215186689726299,0.12401147996606,0.333947992125592
"210","21203","mainRoad",0,5.46162582325965,17080.0960555822,0,0.262980505875548,0.0889573817900305,0.628802512092883
"43","18053","mainRoad",7,20.8030519220157,65057.2076109797,0.336489089497102,0.319376403056642,0.165616585986725,0.534079770924949
"114","21011","mainRoad",0,3.74198742824827,11702.2855064641,0,0.405195818965512,0.136054700018574,0.977047627873103
"142","21067","airport",66,104.02230594752,325308.07400614,0.634479301326943,0.628834535414899,0.489376055912528,0.784587635385404
"159","21101","nextAirport",3,14.8879344902971,46558.9110994285,0.201505454094736,0.295339530091334,0.138218180634847,0.528945714087692
"175","21133","lowRisk",0,7.3844271862327,23093.2564290958,0,0.427099917038221,0.117356015379563,1.16669799885342
"153","21089","lowRisk",0,11.7132843801908,36630.8547700187,0,0.421115321940681,0.117613693887686,1.03996186474227
"278","26089","nextAirport",1,6.67011744694464,20859.4016475179,0.149922397612064,0.241701209448997,0.0722751158565828,0.55726426541828
"304","26141","lowRisk",0,3.79306422559562,11862.0175410514,0,0.506198723828867,0.130303566129123,1.49087037517642
"2","17003","mainRoad",0,2.19219275574386,6855.6257883865,0,0.305829374369409,0.0760578458313932,0.838944167231924
"202","21187","lowRisk",0,3.44901585684791,10786.0779992118,0,0.494769518759557,0.168586529645427,1.18892427304361
"398","39123","nextAirport",1,12.4257874609082,38859.0596035912,0.0804777969320677,0.220914032881052,0.0848537105186079,0.44405608068224
"364","39055","nextAirport",17,29.7531665650951,93046.8251276612,0.571367755522988,0.557741156237481,0.345916140199244,0.822410314086725
"508","51171","mainRoad",4,15.5734476313791,48702.7105239846,0.256847429976928,0.266978743425081,0.1123924948722,0.504194225339354
"499","51027","lowRisk",0,6.72349697326194,21026.3349868577,0,0.333446237120064,0.100793211564991,0.881843819918541
"512","54003","mainRoad",10,43.9906912230764,137571.715081932,0.227320819972801,0.234324740340762,0.128512865631533,0.374716213203605
"531","54041","mainRoad",0,4.95178285758087,15485.6684787294,0,0.272642050051758,0.0920240599461174,0.649823964831461
"433","42017","nextAirport",203,203.519131909598,636463.652885318,0.997449223054724,1.00274536785025,0.871023121418665,1.14291804619561
"14","17183","mainRoad",0,24.8023569735989,77564.2003356933,0,0.348334222340109,0.105021021500021,0.850011343266686
"7","17059","lowRisk",0,1.48427964651551,4641.77513367255,0,0.49291474263577,0.149243399866629,1.21857895456253
"66","18099","nextAirport",3,15.0806758987867,47161.6696693897,0.198930075822487,0.234618666092424,0.104205800092715,0.435015981255691
"67","18101","lowRisk",0,3.273760249105,10238.0026254321,0,0.470877074014443,0.154997048224968,1.15128367751715
"18","18003","airport",26,117.83651160638,368509.122049392,0.22064468512824,0.240743213733661,0.165785593145548,0.329537841664218
"32","18031","mainRoad",40,8.37225702347455,26182.4882902033,4.77768418812825,3.92479215091366,2.76632067973481,5.28054843693895
"35","18037","mainRoad",2,13.6221694943794,42600.4949768893,0.146819491625413,0.252599101278882,0.112740053916075,0.467867152421515
"37","18041","lowRisk",5,7.20025415717157,22517.2936793566,0.69441993169365,0.708379838712246,0.332713533386493,1.25892551116092
"44","18055","mainRoad",1,10.2566390221782,32075.5001121042,0.0974978253439232,0.268013222128568,0.116657816126992,0.507177387798717
"49","18065","mainRoad",2,15.5174876481506,48527.7073436603,0.1288868433698,0.280332278512737,0.131717819556641,0.501134988242369
"54","18075","lowRisk",0,6.44818318317583,20165.3485091552,0,0.350332525510628,0.12008693305433,0.842504707428221
"59","18085","lowRisk",3,24.9591581473688,78054.563314829,0.120196361683627,0.199837485509148,0.0948961897316512,0.353416160032446
"62","18091","nextAirport",6,34.873245497442,109058.804491794,0.172051666382474,0.226205275665767,0.118142247225892,0.374601416281874
"71","18109","nextAirport",20,22.3220855196414,69807.66848082,0.895973630349269,0.861183183800558,0.551729229154408,1.24163325624965
"107","18181","mainRoad",1,7.49933533286134,23452.6077002187,0.133345150685301,0.252792062332262,0.100435561997312,0.50787456387795
"64","18095","mainRoad",18,40.7711495479479,127503.269742459,0.441488655570811,0.44049086410447,0.277784691165889,0.64197645517776
"65","18097","airport",676,292.506492137494,914753.068823013,2.31105981634843,2.29987262011638,2.12950194562779,2.4761306690939
